artist,total_tracks,avg_popularity,avg_duration_minutes
"the weeknd, jennie, lily-rose depp",1,92,4.080000
taylor swift,16,91.3125,3.472500
"the weeknd, playboi carti",1,91,4.270000
"taylor swift, sabrina carpenter",2,90.5,4.030000
"the weeknd, daft punk",1,90,3.840000
"drake, wizkid, kyla",1,89,2.900000
"billie eilish, khalid",1,88,3.340000
billie eilish,11,87.18181818181819,4.064545
the weeknd,6,87,3.783333
drake,4,85.25,4.062500
"the weeknd, anitta",1,85,5.030000
"the weeknd, ariana grande",2,84.5,3.180000
"drake, chris brown",2,84.5,4.490000
"drake, central cee",1,83,2.820000
"future, drake, tems",1,83,3.160000
"partynextdoor, drake, yebba",1,82,3.260000
ed sheeran,12,81.33333333333333,3.639167
"ed sheeran, elton john",1,80,3.480000
"lil wayne, drake",2,78.5,5.100000
"ed sheeran, justin bieber",1,76,3.670000
